time;cpu0;avg_rtt;avg_rtt_a1;avg_rtt_a2;avg_upstream;avg_loss;avg_loss_a1;avg_loss_a2;#robots;#r_act1;#r_act2
1639649303.61;1310700.75;123.4;27.5;219.3;1.38;0.01;0.01697;0.0;6;3;3
1639649318.611;1310710.46;123.4;27.47;219.33;1.41;0.01;0.01804;0.0;6;3;3
1639649333.612;1310720.14;123.62;28.2;219.03;1.43;0.01;0.01883;0.0;6;3;3
1639649348.613;1310729.86;123.08;26.9;219.27;1.32;0.01;0.01853;0.0;6;3;3
1639649363.613;1310734.06;123.37;27.37;219.37;1.48;0.01;0.01823;0.0;6;3;3
1639649378.613;1310734.46;123.52;27.37;219.67;1.52;0.01;0.01795;0.0;6;3;3
1639649393.614;1310742.82;152.93;27.17;247.25;1.49;0.01;0.01797;0.0;7;3;3
1639649408.614;1310751.74;136.54;26.4;219.15;1.38;0.01;0.0208;0.0;7;3;4
1639649423.614;1310757.54;136.53;26.53;219.02;1.37;0.01;0.02037;0.0;7;3;4
1639649438.616;1310766.4;136.41;25.9;219.3;1.46;0.01;0.0206;0.0;7;3;4
1639649453.616;1310775.17;136.79;26.97;219.15;1.53;0.01;0.02053;0.0;7;3;4
1639649468.617;1310783.99;136.4;25.9;219.28;1.52;0.01;0.02016;0.0;7;3;4
1639649483.617;1310792.83;136.73;26.6;219.32;1.43;0.01;0.01979;0.0;7;3;4
1639649498.617;1310801.71;136.6;26.6;219.1;1.42;0.01;0.01945;0.0;7;3;4
1639649513.618;1310810.53;136.21;25.73;219.07;1.39;0.01;0.01912;0.0;7;3;4
1639649528.617;1310819.52;136.57;26.27;219.3;1.4;0.01;0.01944;0.0;7;3;4
1639649543.618;1310828.22;136.34;26.27;218.9;1.44;0.01;0.01935;0.0;7;3;4
1639649558.619;1310837.01;136.67;26.5;219.3;1.29;0.01;0.01915;0.0;7;3;4
1639649573.62;1310845.77;136.57;26.23;219.32;1.42;0.01;0.01886;0.0;7;3;4
1639649588.619;1310854.71;136.54;26.47;219.1;1.26;0.01;0.01857;0.0;7;3;4
1639649603.62;1310863.39;136.5;26.4;219.08;1.32;0.01;0.01831;0.0;7;3;4
1639649618.62;1310872.15;136.79;26.73;219.32;1.33;0.01;0.01804;0.0;7;3;4
1639649633.62;1310880.81;136.47;26.03;219.3;1.5;0.01;0.0178;0.0;7;3;4
1639649648.621;1310889.76;136.54;26.13;219.35;1.35;0.01;0.01832;0.0;7;3;4
1639649663.621;1310893.59;137.04;27.8;218.98;1.55;0.01;0.01809;0.0;7;3;4
1639649678.622;1310894.26;136.8;27.3;218.93;1.07;0.01;0.02009;0.0;7;3;4
1639649693.621;1310900.37;136.84;27.3;219.0;1.39;0.01;0.02037;0.0;7;3;4
1639649708.622;1310908.22;123.09;27.08;219.1;1.39;0.01;0.01563;0.0;8;4;4
1639649723.623;1310916.14;122.95;26.75;219.15;1.39;0.01;0.01542;0.0;8;4;4
1639649738.623;1310923.92;122.92;26.73;219.13;1.39;0.01;0.01521;0.0;8;4;4
1639649753.624;1310931.83;123.05;26.83;219.27;1.47;0.01;0.01555;0.0;8;4;4
1639649768.624;1310939.77;123.27;27.23;219.32;1.37;0.01;0.01644;0.0;8;4;4
1639649783.624;1310945.0;123.28;27.4;219.15;1.38;0.01;0.01629;0.0;8;4;4
1639649798.625;1310952.83;122.76;26.3;219.23;1.37;0.01;0.01746;0.0;8;4;4
1639649813.626;1310960.65;122.82;26.4;219.25;1.12;0.01;0.01723;0.0;8;4;4
1639649828.629;1310968.44;123.35;27.35;219.35;1.39;0.01;0.01851;0.0;8;4;4
1639649843.625;1310976.41;122.69;26.05;219.32;1.35;0.01;0.01827;0.0;8;4;4
1639649858.626;1310984.32;122.79;26.32;219.25;1.53;0.01;0.01899;0.0;8;4;4
1639649873.626;1310992.23;122.69;26.77;218.6;1.39;0.01;0.01874;0.0;8;4;4
1639649888.626;1311000.27;123.03;26.8;219.25;1.51;0.01;0.01898;0.0;8;4;4
1639649903.626;1311008.2;123.14;26.93;219.35;1.38;0.01;0.01874;0.0;8;4;4
1639649918.626;1311016.08;123.2;27.1;219.3;1.41;0.01;0.01939;0.0;8;4;4
1639649933.626;1311023.92;122.85;26.4;219.3;1.49;0.01;0.02007;0.0;8;4;4
1639649948.627;1311031.83;122.83;26.27;219.38;1.44;0.01;0.02011;0.0;8;4;4
1639649963.626;1311034.99;122.21;25.35;219.07;1.49;0.01;0.02031;0.0;8;4;4
1639649978.626;1311035.52;123.25;27.15;219.35;1.52;0.01;0.02007;0.0;8;4;4
1639649993.627;1311039.83;156.86;27.48;260.36;1.48;0.01;0.02109;0.0;9;4;4
1639650008.627;1311046.82;133.17;25.78;219.08;1.46;0.01;0.02209;0.0;9;4;5
1639650023.628;1311053.81;133.28;26.57;218.64;1.37;0.01;0.024;0.0;9;4;5
1639650038.628;1311060.8;133.7;27.1;218.98;1.42;0.01;0.02441;0.0;9;4;5
1639650053.628;1311067.76;133.57;26.98;218.84;1.26;0.01;0.02494;0.0;9;4;5
1639650068.628;1311074.72;133.76;26.77;219.34;1.39;0.01;0.02501;0.0;9;4;5
1639650083.628;1311079.36;133.22;25.88;219.1;1.34;0.01;0.02466;0.0;9;4;5
1639650098.629;1311086.27;133.7;27.05;219.02;1.45;0.01;0.02466;0.0;9;4;5
1639650113.629;1311093.25;133.42;26.23;219.18;1.36;0.01;0.02538;0.0;9;4;5
1639650128.629;1311100.28;134.02;27.43;219.3;1.38;0.01;0.02538;0.0;9;4;5
1639650143.629;1311107.23;134.02;27.5;219.24;1.51;0.01;0.02576;0.0;9;4;5
1639650158.63;1311114.21;133.93;27.6;219.0;1.39;0.01;0.02545;0.0;9;4;5
1639650173.63;1311121.11;133.61;26.85;219.02;1.53;0.01;0.02514;0.0;9;4;5
1639650188.634;1311128.15;133.56;26.52;219.18;1.56;0.01;0.02524;0.0;9;4;5
1639650203.63;1311135.14;133.78;27.48;218.82;1.63;0.01;0.02558;0.0;9;4;5
1639650218.631;1311142.16;133.47;26.33;219.18;1.4;0.01;0.02528;0.0;9;4;5
1639650233.632;1311149.05;133.77;27.02;219.16;1.51;0.01;0.02555;0.0;9;4;5
1639650248.632;1311156.09;133.24;25.82;219.18;1.52;0.01;0.02542;0.0;9;4;5
1639650263.633;1311158.84;134.08;28.08;218.88;1.63;0.01;0.02552;0.0;9;4;5
1639650278.633;1311159.37;134.1;27.55;219.34;1.54;0.01;0.02656;0.0;9;4;5
1639650293.635;1311164.12;133.3;26.22;218.96;1.74;0.01;0.0266;0.0;9;4;5
1639650308.633;1311168.33;123.09;26.96;219.22;1.48;0.01;0.02196;0.0;10;5;5
1639650323.633;1311176.75;123.3;27.18;219.42;1.45;0.01;0.02203;0.0;10;5;5
1639650338.634;1311180.93;123.33;27.06;219.6;1.61;0.01;0.02203;0.0;10;5;5
1639650353.634;1311189.35;123.1;26.82;219.38;1.61;0.01;0.02181;0.0;10;5;5
1639650368.635;1311193.63;123.45;27.94;218.96;1.71;0.01;0.02158;0.0;10;5;5
1639650383.636;1311200.0;122.84;26.72;218.96;1.54;0.01;0.02137;0.0;10;5;5
1639650398.636;1311206.44;123.06;27.3;218.82;1.59;0.02;0.03333;0.0;10;5;5
1639650413.636;1311212.75;123.25;27.2;219.3;1.59;0.02;0.03164;0.0;10;5;5
1639650428.637;1311219.09;122.69;26.36;219.02;1.63;0.02;0.03011;0.0;10;5;5
1639650443.638;1311225.23;123.24;27.2;219.28;1.59;0.01;0.02891;0.0;10;5;5
1639650458.637;1311231.42;123.17;27.06;219.28;1.35;0.01;0.02829;0.0;10;5;5
1639650473.638;1311237.65;122.9;27.2;218.6;1.54;0.01;0.02755;0.0;10;5;5
1639650488.639;1311244.0;123.15;26.92;219.38;1.52;0.01;0.02999;0.0;10;5;5
